Cnd 23030 ==> LE2 | Aria T'Loak | Friendship(3030) < [[Argument]]
Cnd 25144 ==> LE2 | Karin Chakwas | Sexual Interest(5144) > [[Argument]]
Cnd 25230 ==> LE2 | Kasumi Goto | Friendship(5230) < [[Argument]]
Cnd 25231 ==> LE2 | Kasumi Goto | Friendship(5231) == [[Argument]]
Cnd 25232 ==> LE2 | Kasumi Goto | Friendship(5232) > [[Argument]]
Cnd 25233 ==> LE2 | Kasumi Goto | Loyalty(5233) < [[Argument]]
Cnd 25234 ==> LE2 | Kasumi Goto | Loyalty(5234) == [[Argument]]
Cnd 25235 ==> LE2 | Kasumi Goto | Loyalty(5235) > [[Argument]]
Cnd 25236 ==> LE2 | Kasumi Goto | Rivalry(5236) < [[Argument]]
Cnd 25237 ==> LE2 | Kasumi Goto | Rivalry(5237) == [[Argument]]
Cnd 25238 ==> LE2 | Kasumi Goto | Rivalry(5238) > [[Argument]]
Cnd 25239 ==> LE2 | Kasumi Goto | Romantic Interest(5239) < [[Argument]]
Cnd 25240 ==> LE2 | Kasumi Goto | Romantic Interest(5240) == [[Argument]]
Cnd 25241 ==> LE2 | Kasumi Goto | Romantic Interest(5241) > [[Argument]]
Cnd 25242 ==> LE2 | Kasumi Goto | Sexual Interest(5242) < [[Argument]]
Cnd 25243 ==> LE2 | Kasumi Goto | Sexual Interest(5243) == [[Argument]]
Cnd 25244 ==> LE2 | Kasumi Goto | Sexual Interest(5244) > [[Argument]]
Cnd 25330 ==> LE2 | Kelly Chambers | Friendship(5330) < [[Argument]]
Cnd 25331 ==> LE2 | Kelly Chambers | Friendship(5331) == [[Argument]]
Cnd 25332 ==> LE2 | Kelly Chambers | Friendship(5332) > [[Argument]]
Cnd 25333 ==> LE2 | Kelly Chambers | Loyalty(5333) < [[Argument]]
Cnd 25334 ==> LE2 | Kelly Chambers | Loyalty(5334) == [[Argument]]
Cnd 25335 ==> LE2 | Kelly Chambers | Loyalty(5335) > [[Argument]]
Cnd 25336 ==> LE2 | Kelly Chambers | Rivalry(5336) < [[Argument]]
Cnd 25337 ==> LE2 | Kelly Chambers | Rivalry(5337) == [[Argument]]
Cnd 25338 ==> LE2 | Kelly Chambers | Rivalry(5338) > [[Argument]]
Cnd 25339 ==> LE2 | Kelly Chambers | Romantic Interest(5339) < [[Argument]]
Cnd 25340 ==> LE2 | Kelly Chambers | Romantic Interest(5340) == [[Argument]]
Cnd 25341 ==> LE2 | Kelly Chambers | Romantic Interest(5341) > [[Argument]]
Cnd 25342 ==> LE2 | Kelly Chambers | Sexual Interest(5342) < [[Argument]]
Cnd 25343 ==> LE2 | Kelly Chambers | Sexual Interest(5343) == [[Argument]]
Cnd 25344 ==> LE2 | Kelly Chambers | Sexual Interest(5344) > [[Argument]]
Cnd 25430 ==> LE2 | Kenneth Donnelly | Friendship(5430) < [[Argument]]
Cnd 25431 ==> LE2 | Kenneth Donnelly | Friendship(5431) == [[Argument]]
Cnd 25432 ==> LE2 | Kenneth Donnelly | Friendship(5432) > [[Argument]]
Cnd 25433 ==> LE2 | Kenneth Donnelly | Loyalty(5433) < [[Argument]]
Cnd 25434 ==> LE2 | Kenneth Donnelly | Loyalty(5434) == [[Argument]]
Cnd 25435 ==> LE2 | Kenneth Donnelly | Loyalty(5435) > [[Argument]]
Cnd 25436 ==> LE2 | Kenneth Donnelly | Rivalry(5436) < [[Argument]]
Cnd 25437 ==> LE2 | Kenneth Donnelly | Rivalry(5437) == [[Argument]]
Cnd 25438 ==> LE2 | Kenneth Donnelly | Rivalry(5438) > [[Argument]]
Cnd 25439 ==> LE2 | Kenneth Donnelly | Romantic Interest(5439) < [[Argument]]
Cnd 25440 ==> LE2 | Kenneth Donnelly | Romantic Interest(5440) == [[Argument]]
Cnd 25441 ==> LE2 | Kenneth Donnelly | Romantic Interest(5441) > [[Argument]]
Cnd 25442 ==> LE2 | Kenneth Donnelly | Sexual Interest(5442) < [[Argument]]
Cnd 25443 ==> LE2 | Kenneth Donnelly | Sexual Interest(5443) == [[Argument]]
Cnd 25444 ==> LE2 | Kenneth Donnelly | Sexual Interest(5444) > [[Argument]]
Cnd 25530 ==> LE2 | Legion | Friendship(5530) < [[Argument]]
Cnd 25531 ==> LE2 | Legion | Friendship(5531) == [[Argument]]
Cnd 25532 ==> LE2 | Legion | Friendship(5532) > [[Argument]]
Cnd 25533 ==> LE2 | Legion | Loyalty(5533) < [[Argument]]
Cnd 25534 ==> LE2 | Legion | Loyalty(5534) == [[Argument]]
Cnd 25535 ==> LE2 | Legion | Loyalty(5535) > [[Argument]]
Cnd 25536 ==> LE2 | Legion | Rivalry(5536) < [[Argument]]
Cnd 25537 ==> LE2 | Legion | Rivalry(5537) == [[Argument]]
Cnd 25538 ==> LE2 | Legion | Rivalry(5538) > [[Argument]]
Cnd 25539 ==> LE2 | Legion | Romantic Interest(5539) < [[Argument]]
Cnd 25540 ==> LE2 | Legion | Romantic Interest(5540) == [[Argument]]
Cnd 25541 ==> LE2 | Legion | Romantic Interest(5541) > [[Argument]]
Cnd 25542 ==> LE2 | Legion | Sexual Interest(5542) < [[Argument]]
Cnd 25543 ==> LE2 | Legion | Sexual Interest(5543) == [[Argument]]
Cnd 25544 ==> LE2 | Legion | Sexual Interest(5544) > [[Argument]]
Cnd 25630 ==> LE2 | Liara T'Soni | Friendship(5630) < [[Argument]]
Cnd 25631 ==> LE2 | Liara T'Soni | Friendship(5631) == [[Argument]]
Cnd 25632 ==> LE2 | Liara T'Soni | Friendship(5632) > [[Argument]]
Cnd 25633 ==> LE2 | Liara T'Soni | Loyalty(5633) < [[Argument]]
Cnd 25634 ==> LE2 | Liara T'Soni | Loyalty(5634) == [[Argument]]
Cnd 25635 ==> LE2 | Liara T'Soni | Loyalty(5635) > [[Argument]]
Cnd 25636 ==> LE2 | Liara T'Soni | Rivalry(5636) < [[Argument]]
Cnd 25637 ==> LE2 | Liara T'Soni | Rivalry(5637) == [[Argument]]
Cnd 25638 ==> LE2 | Liara T'Soni | Rivalry(5638) > [[Argument]]
Cnd 25639 ==> LE2 | Liara T'Soni | Romantic Interest(5639) < [[Argument]]
Cnd 25640 ==> LE2 | Liara T'Soni | Romantic Interest(5640) == [[Argument]]
Cnd 25641 ==> LE2 | Liara T'Soni | Romantic Interest(5641) > [[Argument]]
Cnd 25642 ==> LE2 | Liara T'Soni | Sexual Interest(5642) < [[Argument]]
Cnd 25643 ==> LE2 | Liara T'Soni | Sexual Interest(5643) == [[Argument]]
Cnd 25644 ==> LE2 | Liara T'Soni | Sexual Interest(5644) > [[Argument]]
Cnd 25730 ==> LE2 | Miranda Lawson | Friendship(5730) < [[Argument]]
Cnd 25731 ==> LE2 | Miranda Lawson | Friendship(5731) == [[Argument]]
Cnd 25732 ==> LE2 | Miranda Lawson | Friendship(5732) > [[Argument]]
Cnd 25733 ==> LE2 | Miranda Lawson | Loyalty(5733) < [[Argument]]
Cnd 25734 ==> LE2 | Miranda Lawson | Loyalty(5734) == [[Argument]]
Cnd 25735 ==> LE2 | Miranda Lawson | Loyalty(5735) > [[Argument]]
Cnd 25736 ==> LE2 | Miranda Lawson | Rivalry(5736) < [[Argument]]
Cnd 25737 ==> LE2 | Miranda Lawson | Rivalry(5737) == [[Argument]]
Cnd 25738 ==> LE2 | Miranda Lawson | Rivalry(5738) > [[Argument]]
Cnd 25739 ==> LE2 | Miranda Lawson | Romantic Interest(5739) < [[Argument]]
Cnd 25740 ==> LE2 | Miranda Lawson | Romantic Interest(5740) == [[Argument]]
Cnd 25741 ==> LE2 | Miranda Lawson | Romantic Interest(5741) > [[Argument]]
Cnd 25742 ==> LE2 | Miranda Lawson | Sexual Interest(5742) < [[Argument]]
Cnd 25743 ==> LE2 | Miranda Lawson | Sexual Interest(5743) == [[Argument]]
Cnd 25744 ==> LE2 | Miranda Lawson | Sexual Interest(5744) > [[Argument]]
Cnd 25830 ==> LE2 | Mordin Solus | Friendship(5830) < [[Argument]]
Cnd 25831 ==> LE2 | Mordin Solus | Friendship(5831) == [[Argument]]
Cnd 25832 ==> LE2 | Mordin Solus | Friendship(5832) > [[Argument]]
Cnd 25833 ==> LE2 | Mordin Solus | Loyalty(5833) < [[Argument]]
Cnd 25834 ==> LE2 | Mordin Solus | Loyalty(5834) == [[Argument]]
Cnd 25835 ==> LE2 | Mordin Solus | Loyalty(5835) > [[Argument]]
Cnd 25836 ==> LE2 | Mordin Solus | Rivalry(5836) < [[Argument]]
Cnd 25837 ==> LE2 | Mordin Solus | Rivalry(5837) == [[Argument]]
Cnd 25838 ==> LE2 | Mordin Solus | Rivalry(5838) > [[Argument]]
Cnd 25839 ==> LE2 | Mordin Solus | Romantic Interest(5839) < [[Argument]]
Cnd 25840 ==> LE2 | Mordin Solus | Romantic Interest(5840) == [[Argument]]
Cnd 25841 ==> LE2 | Mordin Solus | Romantic Interest(5841) > [[Argument]]
Cnd 25842 ==> LE2 | Mordin Solus | Sexual Interest(5842) < [[Argument]]
Cnd 25843 ==> LE2 | Mordin Solus | Sexual Interest(5843) == [[Argument]]
Cnd 25844 ==> LE2 | Mordin Solus | Sexual Interest(5844) > [[Argument]]
Cnd 25930 ==> LE2 | Morinth | Friendship(5930) < [[Argument]]
Cnd 25931 ==> LE2 | Morinth | Friendship(5931) == [[Argument]]
Cnd 25932 ==> LE2 | Morinth | Friendship(5932) > [[Argument]]
Cnd 25933 ==> LE2 | Morinth | Loyalty(5933) < [[Argument]]
Cnd 25934 ==> LE2 | Morinth | Loyalty(5934) == [[Argument]]
Cnd 25935 ==> LE2 | Morinth | Loyalty(5935) > [[Argument]]
Cnd 25936 ==> LE2 | Morinth | Rivalry(5936) < [[Argument]]
Cnd 25937 ==> LE2 | Morinth | Rivalry(5937) == [[Argument]]
Cnd 25938 ==> LE2 | Morinth | Rivalry(5938) > [[Argument]]
Cnd 25939 ==> LE2 | Morinth | Romantic Interest(5939) < [[Argument]]
Cnd 25940 ==> LE2 | Morinth | Romantic Interest(5940) == [[Argument]]
Cnd 25941 ==> LE2 | Morinth | Romantic Interest(5941) > [[Argument]]
Cnd 25942 ==> LE2 | Morinth | Sexual Interest(5942) < [[Argument]]
Cnd 25943 ==> LE2 | Morinth | Sexual Interest(5943) == [[Argument]]
Cnd 25944 ==> LE2 | Morinth | Sexual Interest(5944) > [[Argument]]
Cnd 26030 ==> LE2 | Nyreen Kandros | Friendship(6030) < [[Argument]]
Cnd 26031 ==> LE2 | Nyreen Kandros | Friendship(6031) == [[Argument]]
Cnd 26032 ==> LE2 | Nyreen Kandros | Friendship(6032) > [[Argument]]
Cnd 26033 ==> LE2 | Nyreen Kandros | Loyalty(6033) < [[Argument]]
Cnd 26034 ==> LE2 | Nyreen Kandros | Loyalty(6034) == [[Argument]]
Cnd 26035 ==> LE2 | Nyreen Kandros | Loyalty(6035) > [[Argument]]
Cnd 26036 ==> LE2 | Nyreen Kandros | Rivalry(6036) < [[Argument]]
Cnd 26037 ==> LE2 | Nyreen Kandros | Rivalry(6037) == [[Argument]]
Cnd 26038 ==> LE2 | Nyreen Kandros | Rivalry(6038) > [[Argument]]
Cnd 26039 ==> LE2 | Nyreen Kandros | Romantic Interest(6039) < [[Argument]]
Cnd 26040 ==> LE2 | Nyreen Kandros | Romantic Interest(6040) == [[Argument]]
Cnd 26041 ==> LE2 | Nyreen Kandros | Romantic Interest(6041) > [[Argument]]
Cnd 26042 ==> LE2 | Nyreen Kandros | Sexual Interest(6042) < [[Argument]]
Cnd 26043 ==> LE2 | Nyreen Kandros | Sexual Interest(6043) == [[Argument]]
Cnd 26044 ==> LE2 | Nyreen Kandros | Sexual Interest(6044) > [[Argument]]
Cnd 26130 ==> LE2 | Samantha Traynor | Friendship(6130) < [[Argument]]
Cnd 26131 ==> LE2 | Samantha Traynor | Friendship(6131) == [[Argument]]
Cnd 26132 ==> LE2 | Samantha Traynor | Friendship(6132) > [[Argument]]
Cnd 26133 ==> LE2 | Samantha Traynor | Loyalty(6133) < [[Argument]]
Cnd 26134 ==> LE2 | Samantha Traynor | Loyalty(6134) == [[Argument]]
Cnd 26135 ==> LE2 | Samantha Traynor | Loyalty(6135) > [[Argument]]
Cnd 26136 ==> LE2 | Samantha Traynor | Rivalry(6136) < [[Argument]]
Cnd 26137 ==> LE2 | Samantha Traynor | Rivalry(6137) == [[Argument]]
Cnd 26138 ==> LE2 | Samantha Traynor | Rivalry(6138) > [[Argument]]
Cnd 26139 ==> LE2 | Samantha Traynor | Romantic Interest(6139) < [[Argument]]
Cnd 26140 ==> LE2 | Samantha Traynor | Romantic Interest(6140) == [[Argument]]
Cnd 26141 ==> LE2 | Samantha Traynor | Romantic Interest(6141) > [[Argument]]
Cnd 26142 ==> LE2 | Samantha Traynor | Sexual Interest(6142) < [[Argument]]
Cnd 26143 ==> LE2 | Samantha Traynor | Sexual Interest(6143) == [[Argument]]
Cnd 26144 ==> LE2 | Samantha Traynor | Sexual Interest(6144) > [[Argument]]
Cnd 26230 ==> LE2 | Samara | Friendship(6230) < [[Argument]]
Cnd 26231 ==> LE2 | Samara | Friendship(6231) == [[Argument]]
Cnd 26232 ==> LE2 | Samara | Friendship(6232) > [[Argument]]
Cnd 26233 ==> LE2 | Samara | Loyalty(6233) < [[Argument]]
Cnd 26234 ==> LE2 | Samara | Loyalty(6234) == [[Argument]]
Cnd 26235 ==> LE2 | Samara | Loyalty(6235) > [[Argument]]
Cnd 26236 ==> LE2 | Samara | Rivalry(6236) < [[Argument]]
Cnd 26237 ==> LE2 | Samara | Rivalry(6237) == [[Argument]]
Cnd 26238 ==> LE2 | Samara | Rivalry(6238) > [[Argument]]
Cnd 26239 ==> LE2 | Samara | Romantic Interest(6239) < [[Argument]]
Cnd 26240 ==> LE2 | Samara | Romantic Interest(6240) == [[Argument]]
Cnd 26241 ==> LE2 | Samara | Romantic Interest(6241) > [[Argument]]
Cnd 26242 ==> LE2 | Samara | Sexual Interest(6242) < [[Argument]]
Cnd 26243 ==> LE2 | Samara | Sexual Interest(6243) == [[Argument]]
Cnd 26244 ==> LE2 | Samara | Sexual Interest(6244) > [[Argument]]
Cnd 26330 ==> LE2 | Steve Cortez | Friendship(6330) < [[Argument]]
Cnd 26331 ==> LE2 | Steve Cortez | Friendship(6331) == [[Argument]]
Cnd 26332 ==> LE2 | Steve Cortez | Friendship(6332) > [[Argument]]
Cnd 26333 ==> LE2 | Steve Cortez | Loyalty(6333) < [[Argument]]
Cnd 26334 ==> LE2 | Steve Cortez | Loyalty(6334) == [[Argument]]
Cnd 26335 ==> LE2 | Steve Cortez | Loyalty(6335) > [[Argument]]
Cnd 26336 ==> LE2 | Steve Cortez | Rivalry(6336) < [[Argument]]
Cnd 26337 ==> LE2 | Steve Cortez | Rivalry(6337) == [[Argument]]
Cnd 26338 ==> LE2 | Steve Cortez | Rivalry(6338) > [[Argument]]
Cnd 26339 ==> LE2 | Steve Cortez | Romantic Interest(6339) < [[Argument]]
Cnd 26340 ==> LE2 | Steve Cortez | Romantic Interest(6340) == [[Argument]]
Cnd 26341 ==> LE2 | Steve Cortez | Romantic Interest(6341) > [[Argument]]
Cnd 26342 ==> LE2 | Steve Cortez | Sexual Interest(6342) < [[Argument]]
Cnd 26343 ==> LE2 | Steve Cortez | Sexual Interest(6343) == [[Argument]]
Cnd 26344 ==> LE2 | Steve Cortez | Sexual Interest(6344) > [[Argument]]
Cnd 26430 ==> LE2 | Steven Hackett | Friendship(6430) < [[Argument]]
Cnd 26431 ==> LE2 | Steven Hackett | Friendship(6431) == [[Argument]]
Cnd 26432 ==> LE2 | Steven Hackett | Friendship(6432) > [[Argument]]
Cnd 26433 ==> LE2 | Steven Hackett | Loyalty(6433) < [[Argument]]
Cnd 26434 ==> LE2 | Steven Hackett | Loyalty(6434) == [[Argument]]
Cnd 26435 ==> LE2 | Steven Hackett | Loyalty(6435) > [[Argument]]
Cnd 26436 ==> LE2 | Steven Hackett | Rivalry(6436) < [[Argument]]
Cnd 26437 ==> LE2 | Steven Hackett | Rivalry(6437) == [[Argument]]
Cnd 26438 ==> LE2 | Steven Hackett | Rivalry(6438) > [[Argument]]
Cnd 26439 ==> LE2 | Steven Hackett | Romantic Interest(6439) < [[Argument]]
Cnd 26440 ==> LE2 | Steven Hackett | Romantic Interest(6440) == [[Argument]]
Cnd 26441 ==> LE2 | Steven Hackett | Romantic Interest(6441) > [[Argument]]
Cnd 26442 ==> LE2 | Steven Hackett | Sexual Interest(6442) < [[Argument]]
Cnd 26443 ==> LE2 | Steven Hackett | Sexual Interest(6443) == [[Argument]]
Cnd 26444 ==> LE2 | Steven Hackett | Sexual Interest(6444) > [[Argument]]
Cnd 26530 ==> LE2 | Tali'Zorah vas Normandy | Friendship(6530) < [[Argument]]
Cnd 26531 ==> LE2 | Tali'Zorah vas Normandy | Friendship(6531) == [[Argument]]
Cnd 26532 ==> LE2 | Tali'Zorah vas Normandy | Friendship(6532) > [[Argument]]
Cnd 26533 ==> LE2 | Tali'Zorah vas Normandy | Loyalty(6533) < [[Argument]]
Cnd 26534 ==> LE2 | Tali'Zorah vas Normandy | Loyalty(6534) == [[Argument]]
Cnd 26535 ==> LE2 | Tali'Zorah vas Normandy | Loyalty(6535) > [[Argument]]
Cnd 26536 ==> LE2 | Tali'Zorah vas Normandy | Rivalry(6536) < [[Argument]]
Cnd 26537 ==> LE2 | Tali'Zorah vas Normandy | Rivalry(6537) == [[Argument]]
Cnd 26538 ==> LE2 | Tali'Zorah vas Normandy | Rivalry(6538) > [[Argument]]
Cnd 26539 ==> LE2 | Tali'Zorah vas Normandy | Romantic Interest(6539) < [[Argument]]
Cnd 26540 ==> LE2 | Tali'Zorah vas Normandy | Romantic Interest(6540) == [[Argument]]
Cnd 26541 ==> LE2 | Tali'Zorah vas Normandy | Romantic Interest(6541) > [[Argument]]
Cnd 26542 ==> LE2 | Tali'Zorah vas Normandy | Sexual Interest(6542) < [[Argument]]
Cnd 26543 ==> LE2 | Tali'Zorah vas Normandy | Sexual Interest(6543) == [[Argument]]
Cnd 26544 ==> LE2 | Tali'Zorah vas Normandy | Sexual Interest(6544) > [[Argument]]
Cnd 26630 ==> LE2 | Thane Krios | Friendship(6630) < [[Argument]]
Cnd 26631 ==> LE2 | Thane Krios | Friendship(6631) == [[Argument]]
Cnd 26632 ==> LE2 | Thane Krios | Friendship(6632) > [[Argument]]
Cnd 26633 ==> LE2 | Thane Krios | Loyalty(6633) < [[Argument]]
Cnd 26634 ==> LE2 | Thane Krios | Loyalty(6634) == [[Argument]]
Cnd 26635 ==> LE2 | Thane Krios | Loyalty(6635) > [[Argument]]
Cnd 26636 ==> LE2 | Thane Krios | Rivalry(6636) < [[Argument]]
Cnd 26637 ==> LE2 | Thane Krios | Rivalry(6637) == [[Argument]]
Cnd 26638 ==> LE2 | Thane Krios | Rivalry(6638) > [[Argument]]
Cnd 26639 ==> LE2 | Thane Krios | Romantic Interest(6639) < [[Argument]]
Cnd 26640 ==> LE2 | Thane Krios | Romantic Interest(6640) == [[Argument]]
Cnd 26641 ==> LE2 | Thane Krios | Romantic Interest(6641) > [[Argument]]
Cnd 26642 ==> LE2 | Thane Krios | Sexual Interest(6642) < [[Argument]]
Cnd 26643 ==> LE2 | Thane Krios | Sexual Interest(6643) == [[Argument]]
Cnd 26644 ==> LE2 | Thane Krios | Sexual Interest(6644) > [[Argument]]
Cnd 26730 ==> LE2 | Urdnot Wrex | Friendship(6730) < [[Argument]]
Cnd 26731 ==> LE2 | Urdnot Wrex | Friendship(6731) == [[Argument]]
Cnd 26732 ==> LE2 | Urdnot Wrex | Friendship(6732) > [[Argument]]
Cnd 26733 ==> LE2 | Urdnot Wrex | Loyalty(6733) < [[Argument]]
Cnd 26734 ==> LE2 | Urdnot Wrex | Loyalty(6734) == [[Argument]]
Cnd 26735 ==> LE2 | Urdnot Wrex | Loyalty(6735) > [[Argument]]
Cnd 26736 ==> LE2 | Urdnot Wrex | Rivalry(6736) < [[Argument]]
Cnd 26737 ==> LE2 | Urdnot Wrex | Rivalry(6737) == [[Argument]]
Cnd 26738 ==> LE2 | Urdnot Wrex | Rivalry(6738) > [[Argument]]
Cnd 26739 ==> LE2 | Urdnot Wrex | Romantic Interest(6739) < [[Argument]]
Cnd 26740 ==> LE2 | Urdnot Wrex | Romantic Interest(6740) == [[Argument]]
Cnd 26741 ==> LE2 | Urdnot Wrex | Romantic Interest(6741) > [[Argument]]
Cnd 26742 ==> LE2 | Urdnot Wrex | Sexual Interest(6742) < [[Argument]]
Cnd 26743 ==> LE2 | Urdnot Wrex | Sexual Interest(6743) == [[Argument]]
Cnd 26744 ==> LE2 | Urdnot Wrex | Sexual Interest(6744) > [[Argument]]
Cnd 26830 ==> LE2 | Zaeed Massani | Friendship(6830) < [[Argument]]
Cnd 26831 ==> LE2 | Zaeed Massani | Friendship(6831) == [[Argument]]
Cnd 26832 ==> LE2 | Zaeed Massani | Friendship(6832) > [[Argument]]
Cnd 26833 ==> LE2 | Zaeed Massani | Loyalty(6833) < [[Argument]]
Cnd 26834 ==> LE2 | Zaeed Massani | Loyalty(6834) == [[Argument]]
Cnd 26835 ==> LE2 | Zaeed Massani | Loyalty(6835) > [[Argument]]
Cnd 26836 ==> LE2 | Zaeed Massani | Rivalry(6836) < [[Argument]]
Cnd 26837 ==> LE2 | Zaeed Massani | Rivalry(6837) == [[Argument]]
Cnd 26838 ==> LE2 | Zaeed Massani | Rivalry(6838) > [[Argument]]
Cnd 26839 ==> LE2 | Zaeed Massani | Romantic Interest(6839) < [[Argument]]
Cnd 26840 ==> LE2 | Zaeed Massani | Romantic Interest(6840) == [[Argument]]
Cnd 26841 ==> LE2 | Zaeed Massani | Romantic Interest(6841) > [[Argument]]
Cnd 26842 ==> LE2 | Zaeed Massani | Sexual Interest(6842) < [[Argument]]
Cnd 26843 ==> LE2 | Zaeed Massani | Sexual Interest(6843) == [[Argument]]
Cnd 26844 ==> LE2 | Zaeed Massani | Sexual Interest(6844) > [[Argument]]
Cnd 29911 ==> LE2 | Shepard | Gender Identity(9911) == [[Argument]]

// Added 586 entries.
